"","orig","des_old","des_new"
"Q480M6","Uncharacterized protein ","Uncharacterized protein ","DUF3083 family protein "
"Q480M7","Uncharacterized protein ","Uncharacterized protein ","DUF5062 domain-containing protein "
"Q480M8","Phospho-2-dehydro-3-deoxyheptonate aldolase ","Phospho-2-dehydro-3-deoxyheptonate aldolase ","Phospho-2-dehydro-3-deoxyheptonate aldolase "
"Q480M9","Uncharacterized protein ","Uncharacterized protein ","ATPase associated with various cellular activities AAA_3 "
"Q480N8","RecBCD enzyme subunit RecC ","RecBCD enzyme subunit RecC ","RecBCD enzyme subunit RecC "
"Q480N9","RecBCD enzyme subunit RecB ","RecBCD enzyme subunit RecB ","RecBCD enzyme subunit RecB "
"Q480P0","RecBCD enzyme subunit RecD ","RecBCD enzyme subunit RecD ","RecBCD enzyme subunit RecD "
"Q480P2","Translation initiation factor IF-1 ","Translation initiation factor IF-1 ","Translation initiation factor IF-1 "
"Q480P3","Aspartate/glutamate leucyltransferase ","Aspartate/glutamate leucyltransferase ","Aspartate/glutamate leucyltransferase "
"Q480P4","Leucyl/phenylalanyl-tRNA--protein transferase ","Leucyl/phenylalanyl-tRNA--protein transferase ","Leucyl/phenylalanyl-tRNA--protein transferase "
"Q480P5","Thioredoxin reductase ","Thioredoxin reductase ","Thioredoxin reductase "
"Q480P6","Alanine dehydrogenase ","Alanine dehydrogenase ","Alanine dehydrogenase "
"Q480P7","Leucine-responsive regulatory protein ","Leucine-responsive regulatory protein ","Leucine-responsive regulatory protein "
"Q480P8","Cell division protein FtsK ","Cell division protein FtsK ","DNA translocase FtsK "
"Q480P9","Outer-membrane lipoprotein carrier protein ","Outer-membrane lipoprotein carrier protein ","Outer-membrane lipoprotein carrier protein "
"Q480Q0","ATPase, AAA family ","ATPase, AAA family ","Replication-associated recombination protein A "
"Q480Q2","Serine--tRNA ligase ","Serine--tRNA ligase ","Serine--tRNA ligase "
"Q480R0","Putative ornithine cyclodeaminase ","Putative ornithine cyclodeaminase ","Putative ornithine cyclodeaminase "
"Q480R8","Putative outer membrane protein ","Putative outer membrane protein ","Putative outer membrane protein "
"Q480T2","Uncharacterized protein ","Uncharacterized protein ","Fungal lipase-like domain-containing protein "
"Q480T7","3-hydroxyacyl-CoA dehydrogenase ","3-hydroxyacyl-CoA dehydrogenase ","3-hydroxyacyl-CoA dehydrogenase "
"Q480T8","Acyl-CoA dehydrogenase ","Acyl-CoA dehydrogenase ","Acyl-CoA dehydrogenase "
"Q480U3","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q480U4","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q480U9","Hydrolase, carbon-nitrogen family ","Hydrolase, carbon-nitrogen family ","Hydrolase, carbon-nitrogen family "
"Q480V0","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q480V1","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q480V2","Uncharacterized protein ","Uncharacterized protein ","DUF3943 domain-containing protein "
"Q480V6","DsbA-like thioredoxin domain protein ","DsbA-like thioredoxin domain protein ","DsbA-like thioredoxin domain protein "
"Q480V7","Transcription regulator, LysR family ","Transcription regulator, LysR family ","Transcription regulator, LysR family "
"Q480V9","Orn/DAP/Arg decarboxylase, family 2 ","Orn/DAP/Arg decarboxylase, family 2 ","Orn/DAP/Arg decarboxylase, family 2 "
"Q480W2","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q480W4","Amidohydrolase family protein ","Amidohydrolase family protein ","Amidohydrolase family protein "
"Q480W7","Uncharacterized protein ","Uncharacterized protein ","Capsule synthesis protein CapA domain-containing protein "
"Q480W8","Uncharacterized protein ","Uncharacterized protein ","Zinc-dependent peptidase "
"Q480X7","GTP cyclohydrolase 1 ","GTP cyclohydrolase 1 ","GTP cyclohydrolase 1 "
"Q480X8","Oxidoreductase, short chain dehydrogenase/reductase family ","Oxidoreductase, short chain dehydrogenase/reductase family ","Oxidoreductase, short chain dehydrogenase/reductase family "
"Q480X9","D-erythro-7,8-dihydroneopterin triphosphate epimerase ","D-erythro-7,8-dihydroneopterin triphosphate epimerase ","D-erythro-7,8-dihydroneopterin triphosphate epimerase "
"Q480Y8","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q480Y9","Efflux transporter, RND family, MFP subunit, AcrA/E family ","Efflux transporter, RND family, MFP subunit, AcrA/E family ","Efflux transporter, RND family, MFP subunit, AcrA/E family "
"Q480Z7","ATP-dependent RNA helicase, DEAD box family ","ATP-dependent RNA helicase, DEAD box family ","RNA helicase "
"Q481A1","PKD domain protein ","PKD domain protein ","PKD domain protein "
"Q481A2","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q481A3","Transcriptional regulator, LacI family ","Transcriptional regulator, LacI family ","Transcriptional regulator, LacI family "
"Q481A4","Alpha-1,2-mannosidase family protein ","Alpha-1,2-mannosidase family protein ","Alpha-1,2-mannosidase family protein "
"Q481A5","Alpha-1,2-mannosidase family protein ","Alpha-1,2-mannosidase family protein ","Alpha-1,2-mannosidase family protein "
"Q481A7","Carbohydrate kinase, PfkB family ","Carbohydrate kinase, PfkB family ","Carbohydrate kinase, PfkB family "
"Q481A8","Uncharacterized protein ","Uncharacterized protein ","N-acylglucosamine 2-epimerase "
"Q481A9","PKD domain protein ","PKD domain protein ","PKD domain protein "
"Q481B0","TonB domain protein ","TonB domain protein ","TonB domain protein "
"Q481B3","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481B8","Uncharacterized protein ","Uncharacterized protein ","TonB-dependent receptor-like beta-barrel domain-containing protein "
"Q481C1","Extracellular ribonuclease/nuclease fusion protein ","Extracellular ribonuclease/nuclease fusion protein ","Extracellular ribonuclease/nuclease fusion protein "
"Q481C6","Site-specific recombinase, phage integrase family ","Site-specific recombinase, phage integrase family ","Site-specific recombinase, phage integrase family "
"Q481C9","Acetyl-CoA acetyltransferase ","Acetyl-CoA acetyltransferase ","Acetyl-CoA acetyltransferase "
"Q481D0","Acetoacetyl-CoA reductase ","Acetoacetyl-CoA reductase ","Acetoacetyl-CoA reductase "
"Q481D3","Universal stress protein family ","Universal stress protein family ","Universal stress protein family "
"Q481D4","Cytochrome c family protein ","Cytochrome c family protein ","Cytochrome c family protein "
"Q481D6","Tellurite resistance protein TehB ","Tellurite resistance protein TehB ","Tellurite resistance protein TehB "
"Q481D7","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481D8","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481D9","Uncharacterized protein ","Uncharacterized protein ","ATP-binding protein "
"Q481E0","Peptidase, M23/M37 family ","Peptidase, M23/M37 family ","Peptidase, M23/M37 family "
"Q481E1","Uncharacterized protein ","Uncharacterized protein ","6-carboxy-5,6,7,8-tetrahydropterin synthase "
"Q481E2","Dihydroorotase ","Dihydroorotase ","Dihydroorotase "
"Q481E3","37-kD nucleoid-associated bacterial protein ","37-kD nucleoid-associated bacterial protein ","37-kD nucleoid-associated bacterial protein "
"Q481E4","UPF0352 protein CPS_2611 ","UPF0352 protein CPS_2611 ","UPF0352 protein CPS_2611 "
"Q481E5","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q481E7","GGDEF domain protein ","GGDEF domain protein ","GGDEF domain protein "
"Q481E9","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q481F1","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481F3","Antioxidant, AhpC/Tsa family ","Antioxidant, AhpC/Tsa family ","thioredoxin-dependent peroxiredoxin "
"Q481F5","Cell division protein FtsZ ","Cell division protein FtsZ ","Cell division protein FtsZ "
"Q481F6","Uncharacterized protein ","Uncharacterized protein ","HicB-like antitoxin of toxin-antitoxin system domain-containing protein "
"Q481F7","ATP-dependent dethiobiotin synthetase BioD ","ATP-dependent dethiobiotin synthetase BioD ","ATP-dependent dethiobiotin synthetase BioD "
"Q481F8","Malonyl-[acyl-carrier protein] O-methyltransferase ","Malonyl-[acyl-carrier protein] O-methyltransferase ","Malonyl-[acyl-carrier protein] O-methyltransferase "
"Q481G0","Biotin synthase ","Biotin synthase ","Biotin synthase "
"Q481G1","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase ","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase ","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase "
"Q481G3","Asparagine--tRNA ligase ","Asparagine--tRNA ligase ","Asparagine--tRNA ligase "
"Q481G4","Nitroreductase family protein ","Nitroreductase family protein ","Putative NAD(P)H nitroreductase "
"Q481G8","DoxD-like family protein ","DoxD-like family protein ","DoxD-like family protein "
"Q481G9","Protease 4 ","Protease 4 ","Signal peptide peptidase SppA, 67K type "
"Q481H0","L-asparaginase I ","L-asparaginase I ","asparaginase "
"Q481H1","Cell division topological specificity factor ","Cell division topological specificity factor ","Cell division topological specificity factor "
"Q481H2","Site-determining protein ","Site-determining protein ","Septum site-determining protein MinD "
"Q481H3","Probable septum site-determining protein MinC ","Probable septum site-determining protein MinC ","Probable septum site-determining protein MinC "
"Q481H9","Uncharacterized protein ","Uncharacterized protein ","Zinc chelation protein SecC "
"Q481I0","Uncharacterized protein ","Uncharacterized protein ","Msl2237 protein "
"Q481I1","Amidohydrolase family protein ","Amidohydrolase family protein ","Amidohydrolase family protein "
"Q481I4","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481I6","Uncharacterized protein ","Uncharacterized protein ","Thioesterase "
"Q481I8","Uncharacterized protein ","Uncharacterized protein ","DUF349 domain-containing protein "
"Q481I9","Uncharacterized protein ","Uncharacterized protein ","DUF1315 domain-containing protein "
"Q481J1","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q481J4","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family "
"Q481J5","Amino acid carrier protein ","Amino acid carrier protein ","Amino acid carrier protein "
"Q481J6","Zinc carboxypeptidase family protein ","Zinc carboxypeptidase family protein ","Zinc carboxypeptidase family protein "
"Q481J7","Putative heme-binding protein ","Putative heme-binding protein ","Putative heme-binding protein "
"Q481K0","Peptidase, M28 family ","Peptidase, M28 family ","Carboxypeptidase Q "
"Q481K1","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481K4","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481K5","Uncharacterized protein ","Uncharacterized protein ","Knr4/Smi1-like domain-containing protein "
"Q481K6","Uncharacterized protein ","Uncharacterized protein ","Glyoxalase "
"Q481K8","O-acetylhomoserine/O-acetylserine sulfhydrylase ","O-acetylhomoserine/O-acetylserine sulfhydrylase ","O-acetylhomoserine/O-acetylserine sulfhydrylase "
"Q481L4","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family "
"Q481L6","Uncharacterized protein ","Uncharacterized protein ","5-carboxymethyl-2-hydroxymuconate isomerase "
"Q481M3","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q481M4","Uncharacterized protein ","Uncharacterized protein ","SnoaL-like domain-containing protein "
"Q481M5","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein "
"Q481M7","Putative permease ","Putative permease ","Putative permease "
"Q481M9","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q481N3","Uncharacterized protein ","Uncharacterized protein ","Short chain dehydrogenase "
"Q481N6","Uncharacterized protein ","Uncharacterized protein ","CENP-V/GFA domain-containing protein "
"Q481N7","Uncharacterized protein ","Uncharacterized protein ","Lacal_2735 family protein "
"Q481P0","Uncharacterized protein ","Uncharacterized protein ","DUF1330 domain-containing protein "
"Q481P1","Uncharacterized protein ","Uncharacterized protein ","Glutathione peroxidase "
"Q481P9","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family "
"Q481Q4","DJ-1/PfpI family protein ","DJ-1/PfpI family protein ","DJ-1/PfpI family protein "
"Q481Q8","Putative glutathione S-transferase ","Putative glutathione S-transferase ","Putative glutathione S-transferase "
"Q481R2","Uncharacterized protein ","Uncharacterized protein ","Transmembrane protein "
"Q481R3","Uncharacterized protein ","Uncharacterized protein ","Cupin type-2 domain-containing protein "
"Q481R4","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family "
"Q481R6","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family "
"Q481S8","Histidine kinase ","Histidine kinase ","histidine kinase "
"Q481S9","Bacterial extracellular solute-binding protein, family 3 ","Bacterial extracellular solute-binding protein, family 3 ","Bacterial extracellular solute-binding protein, family 3 "
"Q481T0","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q481T3","GTP cyclohydrolase 1 ","GTP cyclohydrolase 1 ","GTP cyclohydrolase 1 "
"Q481T7","Uncharacterized protein ","Uncharacterized protein ","Cupin type-2 domain-containing protein "
"Q481U2","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481U3","Uncharacterized protein ","Uncharacterized protein ","NIPSNAP domain-containing protein "
"Q481U4","UPF0145 protein CPS_2458 ","UPF0145 protein CPS_2458 ","UPF0145 protein CPS_2458 "
"Q481U6","GTPase HflX ","GTPase HflX ","GTPase HflX "
"Q481U8","DNA helicase ","DNA helicase ","DNA 3'-5' helicase "
"Q481V3","2,4-dienoyl-CoA reductase ","2,4-dienoyl-CoA reductase ","2,4-dienoyl-CoA reductase "
"Q481W1","Catalase ","Catalase ","Catalase "
"Q481W3","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481W4","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481W5","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481W6","Putative glutathione S-transferase ","Putative glutathione S-transferase ","Putative glutathione S-transferase "
"Q481W8","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481W9","Putative surface protein ","Putative surface protein ","Putative surface protein "
"Q481X0","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q481X1","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481X2","VCBS repeat protein ","VCBS repeat protein ","VCBS repeat protein "
"Q481X3","Membrane fusion protein (MFP) family protein ","Membrane fusion protein (MFP) family protein ","Membrane fusion protein (MFP) family protein "
"Q481X4","ABC transporter, ATP-binding/permease protein ","ABC transporter, ATP-binding/permease protein ","ABC transporter, ATP-binding/permease protein "
"Q481X5","ABC transporter protein ","ABC transporter protein ","ABC transporter protein "
"Q481X7","DSBA-like thioredoxin domain protein ","DSBA-like thioredoxin domain protein ","DSBA-like thioredoxin domain protein "
"Q481Y4","DNA helicase ","DNA helicase ","Putative ATP-dependent DNA helicase "
"Q481Y5","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q481Y9","SEC-C motif domain protein ","SEC-C motif domain protein ","SEC-C motif domain protein "
"Q481Z1","Uncharacterized protein ","Uncharacterized protein ","Sel1 domain protein repeat-containing protein "
"Q481Z4","Lipase family protein ","Lipase family protein ","Lipase family protein "
"Q482A0","Uncharacterized protein ","Uncharacterized protein ","Lipoprotein "
"Q482A3","Uncharacterized protein ","Uncharacterized protein ","Outer membrane protein beta-barrel domain-containing protein "
"Q482A5","Uncharacterized protein ","Uncharacterized protein ","SPOR domain-containing protein "
"Q482B0","Glucokinase ","Glucokinase ","Glucokinase "
"Q482B3","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q482B6","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q482B7","Putative surface protein ","Putative surface protein ","Putative surface protein "
"Q482C2","TPR domain protein ","TPR domain protein ","TPR domain protein "
"Q482C5","Sulfatase family protein ","Sulfatase family protein ","Sulfatase family protein "
"Q482C9","Transcription regulator, LacI family ","Transcription regulator, LacI family ","Transcription regulator, LacI family "
"Q482D0","Glycosyl hydrolase, family 10 ","Glycosyl hydrolase, family 10 ","Glycosyl hydrolase, family 10 "
"Q482D2","Putative N-acetylglucosamine-6-sulfatase ","Putative N-acetylglucosamine-6-sulfatase ","Putative N-acetylglucosamine-6-sulfatase "
"Q482D5","Xylosidase/arabinosidase ","Xylosidase/arabinosidase ","beta-glucosidase "
"Q482E1","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q482E2","Sulfatase family protein ","Sulfatase family protein ","Sulfatase family protein "
"Q482E7","DNA-3-methyladenine glycosylase I ","DNA-3-methyladenine glycosylase I ","DNA-3-methyladenine glycosylase I "
"Q482E8","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q482E9","Putative sulfur oxidation protein DsrE ","Putative sulfur oxidation protein DsrE ","Putative sulfur oxidation protein DsrE "
"Q482F1","Putative sulfur oxidation protein DsrH ","Putative sulfur oxidation protein DsrH ","Putative sulfur oxidation protein DsrH "
"Q482F2","Sulfurtransferase ","Sulfurtransferase ","Sulfurtransferase "
"Q482F4","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase "
"Q482F5","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q482F6","Peptide-methionine (R)-S-oxide reductase ","Peptide-methionine (R)-S-oxide reductase ","peptide-methionine (R)-S-oxide reductase "
"Q482F7","6-phosphogluconate dehydrogenase, decarboxylating ","6-phosphogluconate dehydrogenase, decarboxylating ","6-phosphogluconate dehydrogenase, decarboxylating "
"Q482F8","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase "
"Q482F9","Orotidine 5_-phosphate decarboxylase ","Orotidine 5'-phosphate decarboxylase ","Orotidine 5'-phosphate decarboxylase "
"Q482G0","Lipopolysaccharide assembly protein B ","Lipopolysaccharide assembly protein B ","Lipopolysaccharide assembly protein B "
"Q482G2","Integration host factor subunit beta ","Integration host factor subunit beta ","Integration host factor subunit beta "
"Q482G3","30S ribosomal protein S1 ","30S ribosomal protein S1 ","30S ribosomal protein S1 "
"Q482G4","Cytidylate kinase ","Cytidylate kinase ","Cytidylate kinase "
"Q482G5","3-phosphoshikimate 1-carboxyvinyltransferase ","3-phosphoshikimate 1-carboxyvinyltransferase ","3-phosphoshikimate 1-carboxyvinyltransferase "
"Q482G6","Phosphoserine aminotransferase ","Phosphoserine aminotransferase ","Phosphoserine aminotransferase "
"Q482G7","DNA gyrase subunit A ","DNA gyrase subunit A ","DNA gyrase subunit A "
"Q482G8","Ubiquinone biosynthesis O-methyltransferase ","Ubiquinone biosynthesis O-methyltransferase ","Ubiquinone biosynthesis O-methyltransferase "
"Q482G9","Ribonucleoside-diphosphate reductase ","Ribonucleoside-diphosphate reductase ","Ribonucleoside-diphosphate reductase "
"Q482H0","Ribonucleotide reductase, beta subunit ","Ribonucleotide reductase, beta subunit ","ribonucleoside-diphosphate reductase "
"Q482H3","von Willebrand factor type A domain protein ","von Willebrand factor type A domain protein ","von Willebrand factor type A domain protein "
"Q482H8","Denitrification regulatory protein nirQ ","Denitrification regulatory protein nirQ ","Denitrification regulatory protein nirQ "
"Q482I1","YCII-related domain protein ","YCII-related domain protein ","YCII-related domain protein "
"Q482I2","Uncharacterized protein ","Uncharacterized protein ","Lysozyme inhibitor LprI N-terminal domain-containing protein "
"Q482I4","Leucine rich repeat domain protein ","Leucine rich repeat domain protein ","Leucine rich repeat domain protein "
"Q482I7","ABC transporter, permease protein ","ABC transporter, permease protein ","ABC transporter, permease protein "
"Q482I8","ABC transporter, ATP-binding domain ","ABC transporter, ATP-binding domain ","ABC transporter, ATP-binding domain "
"Q482J2","Hydrolase, TatD family ","Hydrolase, TatD family ","Hydrolase, TatD family "
"Q482J4","DNA polymerase III, delta prime subunit ","DNA polymerase III, delta prime subunit ","DNA-directed DNA polymerase "
"Q482J5","Thymidylate kinase ","Thymidylate kinase ","Thymidylate kinase "
"Q482J6","Endolytic murein transglycosylase ","Endolytic murein transglycosylase ","Endolytic murein transglycosylase "
"Q482J7","4-amino-4-deoxychorismate lyase ","4-amino-4-deoxychorismate lyase ","aminodeoxychorismate lyase "
"Q482J8","3-oxoacyl-[acyl-carrier-protein] synthase 2 ","3-oxoacyl-[acyl-carrier-protein] synthase 2 ","3-oxoacyl-[acyl-carrier-protein] synthase 2 "
"Q482J9","Acyl carrier protein ","Acyl carrier protein ","Acyl carrier protein "
"Q482K0","3-oxoacyl-(Acyl-carrier-protein) reductase ","3-oxoacyl-(Acyl-carrier-protein) reductase ","3-oxoacyl-[acyl-carrier-protein] reductase "
"Q482K1","Malonyl CoA-acyl carrier protein transacylase ","Malonyl CoA-acyl carrier protein transacylase ","Malonyl CoA-acyl carrier protein transacylase "
"Q482K2","Phosphate acyltransferase ","Phosphate acyltransferase ","Phosphate acyltransferase "
"Q482K3","50S ribosomal protein L32 ","50S ribosomal protein L32 ","Large ribosomal subunit protein bL32 "
"Q482K4","Uncharacterized protein ","Uncharacterized protein ","Large ribosomal RNA subunit accumulation protein YceD "
"Q482K5","7-methyl-GTP pyrophosphatase ","7-methyl-GTP pyrophosphatase ","7-methyl-GTP pyrophosphatase "
"Q482K6","HAD-superfamily hydrolase, subfamily IA ","HAD-superfamily hydrolase, subfamily IA ","HAD-superfamily hydrolase, subfamily IA "
"Q482K7","Pseudouridine synthase ","Pseudouridine synthase ","Pseudouridine synthase "
"Q482K8","Ribonuclease E ","Ribonuclease E ","Ribonuclease E "
"Q482L1","Uncharacterized protein ","Uncharacterized protein ","GYF domain-containing protein "
"Q482L2","Uncharacterized protein ","Uncharacterized protein ","GYF domain-containing protein "
"Q482L3","KHG/KDPG aldolase ","KHG/KDPG aldolase ","2-dehydro-3-deoxy-phosphogluconate aldolase "
"Q482L4","6-phosphogluconate dehydratase ","6-phosphogluconate dehydratase ","Phosphogluconate dehydratase "
"Q482L5","6-phosphogluconolactonase ","6-phosphogluconolactonase ","6-phosphogluconolactonase "
"Q482L6","Glucose-6-phosphate 1-dehydrogenase ","Glucose-6-phosphate 1-dehydrogenase ","Glucose-6-phosphate 1-dehydrogenase "
"Q482L7","Transcriptional regulator, RpiR family ","Transcriptional regulator, RpiR family ","Transcriptional regulator, RpiR family "
"Q482L8","Pyruvate kinase ","Pyruvate kinase ","Pyruvate kinase "
"Q482L9","LytTr DNA-binding response regulator ","LytTr DNA-binding response regulator ","LytTr DNA-binding response regulator "
"Q482M1","HIT family protein ","HIT family protein ","HIT family protein "
"Q482M2","Uncharacterized protein ","Uncharacterized protein ","Succinylglutamate desuccinylase/aspartoacylase "
"Q482M3","Cystathionine beta-lyase ","Cystathionine beta-lyase ","Cystathionine beta-lyase "
"Q482M5","ATP-dependent DNA helicase DinG ","ATP-dependent DNA helicase DinG ","ATP-dependent DNA helicase DinG "
"Q482M7","Uncharacterized protein ","Uncharacterized protein ","DUF5683 domain-containing protein "
"Q482M8","Uncharacterized protein ","Uncharacterized protein ","DUF2947 domain-containing protein "
"Q482M9","Ribosomal RNA large subunit methyltransferase F ","Ribosomal RNA large subunit methyltransferase F ","Ribosomal RNA large subunit methyltransferase F "
"Q482N1","Glutamine amidotransferase, class II ","Glutamine amidotransferase, class II ","Glutamine amidotransferase, class II "
"Q482N2","Acyl-coenzyme A dehydrogenase ","Acyl-coenzyme A dehydrogenase ","Acyl-coenzyme A dehydrogenase "
"Q482N4","Acyl-CoA dehydrogenase family protein ","Acyl-CoA dehydrogenase family protein ","Acyl-CoA dehydrogenase family protein "
"Q482N6","Uncharacterized protein ","Uncharacterized protein ","TIGR03503 family protein "
"Q482N7","DNA polymerase III subunit epsilon ","DNA polymerase III subunit epsilon ","DNA polymerase III subunit epsilon "
"Q482N9","Uncharacterized protein ","Uncharacterized protein ","DUF599 domain-containing protein "
"Q482P0","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q482P1","Cysteine synthase ","Cysteine synthase ","Cysteine synthase "
"Q482P2","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q482P3","Uncharacterized protein ","Uncharacterized protein ","DUF1653 domain-containing protein "
"Q482P4","Acylphosphatase ","Acylphosphatase ","Acylphosphatase "
"Q482P5","Ribosomal RNA large subunit methyltransferase I ","Ribosomal RNA large subunit methyltransferase I ","Ribosomal RNA large subunit methyltransferase I "
"Q482P8","Uncharacterized protein ","Uncharacterized protein ","PilZ domain-containing protein "
"Q482P9","ATP-dependent helicase HrpA ","ATP-dependent helicase HrpA ","ATP-dependent helicase HrpA "
"Q482Q0","CBS domain protein ","CBS domain protein ","CBS domain protein "
"Q482Q1","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q482Q5","Microbial collagenase ","Microbial collagenase ","Microbial collagenase "
"Q482Q6","Thioredoxin ","Thioredoxin ","Thioredoxin "
"Q482Q7","Uncharacterized protein ","Uncharacterized protein ","Lipoprotein "
"Q482R4","Uncharacterized protein ","Uncharacterized protein ","EF-hand domain-containing protein "
"Q482R9","Uncharacterized protein ","Uncharacterized protein ","FRG domain-containing protein "
"Q482S0","Succinate--CoA ligase [ADP-forming] subunit alpha ","Succinate--CoA ligase [ADP-forming] subunit alpha ","Succinate--CoA ligase [ADP-forming] subunit alpha "
"Q482S1","Succinate--CoA ligase [ADP-forming] subunit beta ","Succinate--CoA ligase [ADP-forming] subunit beta ","Succinate--CoA ligase [ADP-forming] subunit beta "
"Q482S2","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex ","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex ","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex "
"Q482S3","2-oxoglutarate dehydrogenase, E1 component ","2-oxoglutarate dehydrogenase, E1 component ","oxoglutarate dehydrogenase (succinyl-transferring) "
"Q482S4","Succinate dehydrogenase iron-sulfur subunit ","Succinate dehydrogenase iron-sulfur subunit ","Succinate dehydrogenase iron-sulfur subunit "
"Q482S5","Succinate dehydrogenase flavoprotein subunit ","Succinate dehydrogenase flavoprotein subunit ","Succinate dehydrogenase flavoprotein subunit "
"Q482S6","Succinate dehydrogenase hydrophobic membrane anchor subunit ","Succinate dehydrogenase hydrophobic membrane anchor subunit ","Succinate dehydrogenase hydrophobic membrane anchor subunit "
"Q482S7","Succinate dehydrogenase, cytochrome b556 subunit ","Succinate dehydrogenase, cytochrome b556 subunit ","Succinate dehydrogenase cytochrome b556 subunit "
"Q482S8","Citrate synthase ","Citrate synthase ","Citrate synthase "
"Q482T0","ThiF family protein ","ThiF family protein ","ThiF family protein "
"Q482T1","Cysteine desulfurase ","Cysteine desulfurase ","cysteine desulfurase "
"Q482T4","Lipoprotein NlpI ","Lipoprotein NlpI ","Lipoprotein NlpI "
"Q482T5","Polyribonucleotide nucleotidyltransferase ","Polyribonucleotide nucleotidyltransferase ","Polyribonucleotide nucleotidyltransferase "
"Q482T6","30S ribosomal protein S15 ","30S ribosomal protein S15 ","Small ribosomal subunit protein uS15 "
"Q482T7","tRNA pseudouridine synthase B ","tRNA pseudouridine synthase B ","tRNA pseudouridine synthase B "
"Q482T8","Ribosome-binding factor A ","Ribosome-binding factor A ","Ribosome-binding factor A "
"Q482T9","Translation initiation factor IF-2 ","Translation initiation factor IF-2 ","Translation initiation factor IF-2 "
